opponent_team_name,opponent_team_alias,lakers_score,opponent_score,game_location,game_date,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,defensive_rating,offensive_rating,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct
Pistons,DET,128,121,home,2022-11-19T03:30:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Spurs,SAS,123,92,home,2022-11-21T02:30:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Suns,PHX,105,115,away,2022-11-23T03:00:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Spurs,SAS,105,94,away,2022-11-26T01:00:00+00:00,33:15,8,17,47.1,1,4,25.0,7,13,53.8,0,4,4,100.0,0,8,8,5,9,3,1,0.56,2,0,0,16,21,False,False,50.0,21,12.1,12,9,6,66.7,18.76,56.0,3,1,6,0,6,6,3,50.0,85.000050037742,80.5630817767797,0,68,84,19.5743596278833,0.0,11.6655274550011,4.20305421939943,32.4207492795389,0,0,0,0.0
Spurs,SAS,143,138,away,2022-11-27T01:00:00+00:00,35:28,11,21,52.4,7,12,58.3,4,9,44.4,1,10,10,100.0,0,11,11,3,4,1,1,0.75,3,0,0,-3,39,True,False,69.0,45,30.6,8,6,4,66.7,25.4,76.8,8,2,2,0,6,2,2,100.0,124.34631685911,131.01137795953,0,105,102,28.0890906511562,0.0,17.3107186571079,1.26721297626088,13.6054421768707,0,0,0,0.0
Pacers,IND,115,116,home,2022-11-29T03:30:00+00:00,36:10,8,22,36.4,3,10,30.0,5,12,41.7,1,2,3,66.7,1,6,7,3,1,1,0,3.0,1,0,0,-7,21,False,False,43.2,17,12.6,8,9,4,44.4,23.32,45.0,3,0,0,0,7,5,3,60.0,106.933372840904,102.808804908683,0,86,79,15.6139875304961,2.41307080016757,8.76445526475959,1.20609681942218,4.11184210526316,0,2,0,0.0
Trail Blazers,POR,128,109,home,2022-12-01T03:30:00+00:00,32:30,12,18,66.7,6,8,75.0,6,10,60.0,0,1,3,33.3,2,5,7,8,2,0,1,4.0,1,0,0,8,31,False,False,83.3,38,29.2,10,9,5,55.6,19.32,80.2,2,0,6,5,2,2,1,50.0,114.006611338192,152.927645564571,0,79,87,15.7119476268412,6.42140468227425,11.1166253101737,0.0,9.38086303939962,0,3,2,66.7
Bucks,MIL,133,129,away,2022-12-03T00:30:00+00:00,37:11,12,27,44.4,3,6,50.0,9,21,42.9,1,1,2,50.0,1,7,8,11,0,2,0,0.0,2,0,0,6,28,True,False,50.0,33,25.2,16,15,8,53.3,27.88,50.2,3,0,2,2,0,2,0,0.0,125.744774807023,124.421608600042,0,102,108,21.5132799684472,2.93362908660644,12.0074120754124,2.56619641770742,0.0,0,3,1,33.3
Wizards,WAS,130,119,away,2022-12-04T23:00:00+00:00,34:26,12,26,46.2,2,7,28.6,10,19,52.6,1,3,4,75.0,1,7,8,6,5,1,0,1.2,3,0,0,13,29,False,False,50.0,25,17.0,20,17,10,58.8,27.76,52.2,5,1,7,5,5,4,2,50.0,108.454591769383,97.0803409033476,0,79,92,18.4024769587935,3.31745332930631,11.733308617336,1.25979240353404,15.2625152625153,0,4,2,50.0
Cavaliers,CLE,102,116,away,2022-12-07T00:30:00+00:00,35:37,8,17,47.1,2,6,33.3,6,11,54.5,0,3,4,75.0,4,13,17,4,3,1,1,1.33,0,0,0,-14,21,True,False,52.9,33,20.1,10,8,5,62.5,18.76,56.0,2,0,0,4,4,4,2,50.0,112.436666677455,112.997142213699,0,91,77,46.1049676132306,11.0014993362811,26.3340486986268,1.35472825562367,13.7867647058824,0,3,2,66.7
Raptors,TOR,113,126,away,2022-12-08T00:30:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
